objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_r,class,subClass
1237661817103122463,206.45211,11.745431,17.59616,17.45767,17.24262,16.64626,16.79331,0.0704451,QSO,BROADLINE
1237661816029315078,206.2046,10.916879,18.74816,18.77826,18.98116,19.14828,19.45276,0.1118124,STAR,OB
1237664852036812940,223.27871,29.971835,17.93769,17.99454,18.04249,17.95357,17.44248,0.04656518,QSO,BROADLINE
1237664852573487181,222.99374,30.580621,18.56658,18.45399,18.36463,18.28946,18.31861,0.05454281,QSO,BROADLINE
1237664852036681750,222.86688,30.100779,18.94313,18.93748,18.86354,18.66579,18.55781,0.04514715,QSO,BROADLINE
1237662696493613107,222.29751,30.543161,19.00439,18.83813,18.61991,18.3975,18.32238,0.05483934,QSO,STARBURST BROADLINE
1237664852036223173,221.85438,30.489289,19.10387,19.1727,19.17943,18.90368,18.80578,0.04349926,QSO,BROADLINE
1237662696493482137,221.99159,30.773491,19.17991,18.96463,18.87426,18.85211,18.83782,0.04574658,QSO,null
1237662698104094768,222.53017,31.847395,18.77273,18.64128,18.49133,18.38913,18.00794,0.03375865,QSO,BROADLINE
1237662223544287242,222.68222,32.258024,19.29024,19.11629,19.04257,18.78105,18.84381,0.04998009,QSO,BROADLINE
1237664853110161418,222.60919,31.180565,19.31224,19.15281,19.06642,18.74343,18.54182,0.05143278,QSO,BROADLINE
1237662697030484027,222.52055,31.036109,19.10427,18.84274,18.94679,18.74321,18.46641,0.05645133,QSO,BROADLINE
1237664854183837876,222.92165,32.008945,17.56752,17.57407,17.92811,18.21262,18.53,0.03585679,STAR,WD
1237662223544483934,223.19078,32.12458,18.0558,17.8151,17.77893,17.84262,17.71969,0.05107899,QSO,BROADLINE
1237664853110226995,222.82578,31.207177,17.39753,17.29626,17.19575,17.35636,17.3434,0.04631066,QSO,BROADLINE
1237662697567617049,223.39225,31.233722,17.64236,17.40515,17.47239,17.30374,17.18351,0.04293216,QSO,BROADLINE
1237662697567682704,223.50164,31.197567,19.2269,19.1475,18.9638,19.03485,19.10782,0.04198913,QSO,BROADLINE
1237662697567682574,223.45186,31.11291,18.03989,17.93771,17.66716,17.61483,17.62868,0.04514233,QSO,BROADLINE
1237662223544614932,223.52956,31.943574,18.37797,18.24898,18.2672,18.12236,18.12026,0.05297324,QSO,BROADLINE
1237664854184099876,223.54378,31.782765,18.98906,18.87508,18.75877,18.71957,18.93068,0.04642954,QSO,BROADLINE
1237664853647425687,223.79249,31.243581,19.24165,19.1109,18.85871,18.78745,18.28903,0.04608161,QSO,BROADLINE
1237664854184296571,224.12408,31.657159,19.13813,19.0507,18.74975,18.70671,18.73751,0.04453714,QSO,BROADLINE
1237662223544811634,224.149,31.884164,18.49272,18.48992,18.36377,17.96104,17.84704,0.04277367,QSO,BROADLINE
1237662698104684654,224.11339,31.363648,17.61044,17.38305,17.49648,17.36425,17.32955,0.04339317,QSO,BROADLINE
1237662697032253499,226.87331,29.473886,18.30181,18.21542,18.30346,18.40007,17.75899,0.06954706,QSO,STARBURST BROADLINE
1237663547438071914,121.96306,51.002874,19.23516,19.13453,19.01113,19.02502,18.8521,0.1626267,QSO,BROADLINE
1237663530258661684,123.07399,51.873901,19.44414,19.18616,19.1083,18.83457,18.81898,0.1337364,QSO,BROADLINE
1237663546902184234,124.45789,52.63564,19.09522,19.03543,18.84411,18.81073,18.83187,0.1126467,QSO,BROADLINE
1237663530258858183,123.52567,52.287612,17.37445,17.66276,17.96147,17.79483,17.49989,0.1200768,STAR,M4
1237663530258858335,123.6593,52.192377,19.22118,18.94595,18.94182,19.09046,18.86726,0.118981,QSO,BROADLINE
1237663546901725389,123.59217,51.810949,17.55625,17.46288,17.49609,17.49662,17.03532,0.142685,QSO,BROADLINE
1237663531332403274,122.09335,52.303699,18.64559,18.66169,18.41401,17.51592,17.78156,0.1123836,QSO,BROADLINE
1237663548512731299,122.63624,53.23479,18.44383,18.26872,18.07444,17.99439,17.83039,0.1012149,QSO,BROADLINE
1237663531332862104,123.03613,53.207092,18.29413,18.26536,18.24097,17.98593,17.93089,0.1004825,QSO,BROADLINE
1237663547976056844,123.54093,53.322593,16.98803,16.88577,17.18289,17.03031,16.63511,0.08988288,STAR,WD
1237663547439054861,123.75772,52.882083,17.10131,17.07841,16.96316,16.31761,16.53116,0.08880519,QSO,BROADLINE
1237663530259513361,125.0633,53.360246,18.06594,17.95725,17.75425,17.78172,17.87361,0.1128531,QSO,BROADLINE
1237663546903166985,126.53747,54.446721,17.41503,17.44757,17.82928,18.1453,18.3863,0.1217921,STAR,WD
1237663546903166985,126.53747,54.446721,17.41503,17.44757,17.82928,18.1453,18.3863,0.1217921,STAR,WD
1237663547976712310,125.1721,54.618775,18.98329,18.95663,19.33053,19.60046,19.90179,0.1320228,STAR,WD
1237663547976712310,125.1721,54.618775,18.98329,18.95663,19.33053,19.60046,19.90179,0.1320228,STAR,WD
1237663547976646976,125.1046,54.458129,19.27131,19.05084,18.98985,18.86899,18.89953,0.1247585,QSO,BROADLINE
1237663547976646976,125.1046,54.458129,19.27131,19.05084,18.98985,18.86899,18.89953,0.1247585,QSO,BROADLINE
1237663530259775677,125.58498,53.916974,19.12717,19.17921,18.97573,18.95132,19.04617,0.107219,QSO,BROADLINE
1237663530259775677,125.58498,53.916974,19.12717,19.17921,18.97573,18.95132,19.04617,0.107219,QSO,BROADLINE
1237663548513058931,123.44062,53.801431,18.31538,18.28834,18.19622,18.28551,18.17517,0.09463467,QSO,BROADLINE
1237663547439251653,124.39858,53.235079,19.3691,19.07503,19.07306,19.19136,19.01208,0.105271,QSO,BROADLINE
1237663547439251653,124.39858,53.235079,19.3691,19.07503,19.07306,19.19136,19.01208,0.105271,QSO,BROADLINE
1237663548513058931,123.44062,53.801431,18.31538,18.28834,18.19622,18.28551,18.17517,0.09463467,QSO,null
1237663915730337922,123.54784,54.31063,18.87176,18.70304,18.80733,18.67992,18.42922,0.1175437,QSO,BROADLINE
1237663915730337922,123.54784,54.31063,18.87176,18.70304,18.80733,18.67992,18.42922,0.1175437,QSO,BROADLINE
1237663915730534676,123.84395,54.713025,19.28078,19.04765,18.93747,18.70839,18.64985,0.1202856,QSO,BROADLINE
1237663915730534676,123.84395,54.713025,19.28078,19.04765,18.93747,18.70839,18.64985,0.1202856,QSO,BROADLINE
1237663915731255340,125.45099,55.987951,18.04982,17.82606,17.70079,17.77018,17.28759,0.2122316,QSO,STARBURST BROADLINE
1237663915731255340,125.45099,55.987951,18.04982,17.82606,17.70079,17.77018,17.28759,0.2122316,QSO,STARBURST BROADLINE
1237662685754097696,210.06191,35.680922,18.4952,18.62688,18.26496,18.30962,18.35626,0.02914954,QSO,BROADLINE
1237664854179184689,210.80387,35.363048,18.58051,18.39953,18.23508,18.02809,17.98837,0.0296615,QSO,BROADLINE
