objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237665569838268998,SDSS J172159.03+332641.41,260.496,33.44484,18.94,0.01,DA,9078,30,8.068,0.000784140317762669
1237664669504962644,SDSS J093816.83+332709.43,144.5701,33.45262,18.81,0.01,DC:,10614,1000,6.5,0.00185433583859949
1237653588477804623,SDSS J073723.78+332744.06,114.3491,33.46224,18.69,0.02,DA,28096,181,7.979,0.000827435630720073
1237662302983815184,SDSS J162247.49+332948.29,245.6979,33.49675,18.94,0.01,DC,8927,340,7.481,0.00330207527036228
1237662225692098596,SDSS J145731.13+333127.17,224.3797,33.52421,17.5,0,DC,11416,140,8.958,0.00136599002912202
1237658192685826085,SDSS J083123.38+333148.63,127.8474,33.53017,17.73,0.01,DA,7380,500,8.644,0.00117135543050155
1237662225154768969,SDSS J145202.08+333232.75,223.0087,33.54243,17.48,0.02,DA,31988,97,8.071,0.00261067396583377
1237674290218074199,SDSS J074613.17+333307.67,116.5549,33.55213,15.62,0.02,He-sdO,49509,292,7,0.00216056282604729
1237659153144545307,SDSS J162626.26+333315.01,246.6094,33.55417,17.96,0.02,He-sdO,50000,298,6.75,0.000521963807496281
1237662501082628231,SDSS J162429.73+333408.15,246.1239,33.56893,18.73,0.02,DAB,22291,355,5,0.000405118348757691
1237662698102063137,SDSS J142951.05+333437.45,217.4627,33.57707,18.61,0.02,DA,18403,123,8.162,0.00917241678611699
1237665128009171006,SDSS J124310.58+343358.39,190.7941,34.56622,17.57,0.02,DAO,36575,345,5.7,0.00283934113702931
1237664853106884613,SDSS J141647.28+333539.37,214.197,33.59427,18.71,0.02,DA,20930,202,8.102,0.00286439025866032
1237665024373620771,SDSS J131930.81+333554.53,199.8784,33.59848,18.52,0.02,DB,15499,50,8.138,0.00422859370516335
1237655374650933329,SDSS J170040.66+333748.00,255.1694,33.63,15.68,0.01,DAB,30343,91,5.48,0.0015563589586151
1237674367528992979,SDSS J074347.95+334141.32,115.9498,33.69481,19,0.02,sdB,29876,354,5,0.000363865448353563
1237665128001568783,SDSS J111909.78+334224.77,169.7908,33.70688,18.87,0.02,DO,94559,4790,7.85,0.00038937875895296
1237674289681858573,SDSS J075321.57+334308.22,118.3399,33.71895,17.98,0.01,DA,40099,258,7.292,0.00231321463394242
1237674288609362052,SDSS J080806.03+334336.48,122.0251,33.7268,18.01,0.01,DC,9306,1000,9,0.00308275180638138
1237665126932676743,SDSS J121256.24+334359.74,183.2343,33.73326,18.92,0.02,DA,23377,240,7.864,0.000652724646982892
