#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J085351.01-000843.44,133.46254,-0.1454,16.61, 0.02,DA, 17685,   46, 8.034
SDSS J223028.67-000731.62,337.61946,-0.12545,16.34, 0.01,DAB, 31500,   59, 5.800
SDSS J134545.23-000641.65,206.43846,-0.11157,17.58, 0.02,He-sdB, 34711,  287, 5.000
SDSS J230323.49-000612.35,345.84787,-0.10343,17.57, 0.02,DA, 29318,   93, 7.674
SDSS J215827.56-000532.06,329.61483,-0.09224,18.91, 0.02,He-sdB, 45611, 1156, 5.520
SDSS J212504.92-000207.04,321.2705,-0.03529,16.75, 0.01,He-sdB, 35770,  254, 5.420
SDSS J211003.74-000152.90,317.51558,-0.03136,17.96, 0.02,DABZ,  7735,   19,10
SDSS J130215.21-000111.53,195.56338,-0.01987,18.35, 0.02,DA, 15571,  111, 8.167
SDSS J151903.66+000104.04,229.76525,0.01779,16.85, 0.01,A/DAZ, 31989,  113, 5.446
SDSS J000116.49+000204.45,0.31871,0.03457,18.78, 0.01,DBA, 11107,   90, 8.000
SDSS J093749.04+000212.77,144.45433,0.03688,18.41, 0.02,DAO, 56187, 1190, 8.170
SDSS J233541.47+000219.46,353.92279,0.03874,15.67, 0.02,He-sdO, 47500,10000, 8.202
SDSS J085026.58+000238.72,132.61075,0.04409,16.45, 0.01,DA, 21591,   69, 8.248
SDSS J144514.93+000248.84,221.31221,0.0469,17.34, 0.01,DAO, 32287,  145, 5.000
SDSS J022422.21+000313.57,36.09254,0.05377,18.73, 0.02,He-sdB, 48415, 1395, 6.260
SDSS J212232.68+000426.65,320.63617,0.07407,17.29, 0.01,He-sdB, 39905,  348, 5.570
SDSS J010251.89+000435.80,15.71621,0.07661,18.3, 0.02,F0/DA:,  6501,   36, 5.876
SDSS J214647.88+000438.21,326.6995,0.07728,18.22, 0.01,DA, 23758,  130, 8.159
SDSS J140232.81+000555.32,210.63671,0.0987,16.38, 0.02,sdO, 33917,  228, 5.740
SDSS J222318.51+000556.98,335.82713,0.09916,16.54, 0.02,DA, 61684,  474, 8.205
SDSS J014908.88+011342.64,27.287,1.22851,18.87, 0.02,DAB, 32791,  405, 5.870
SDSS J141600.15+000801.25,214.00063,0.13368,16, 0.01,DA, 14410,   87, 8.347
SDSS J134515.40+000837.82,206.31417,0.14384,18.7, 0.01,DA, 58585, 1670, 7.848
SDSS J133136.97+001127.38,202.90404,0.19094,18.67, 0.02,DA, 36263,  342, 8.122
SDSS J220418.28+001236.25,331.07617,0.21007,16.32, 0.01,sdB, 31500,   59, 5.650
SDSS J112447.88+001307.28,171.1995,0.21869,18.42, 0.02,DAZ,  8614,   29, 5.126
SDSS J093607.95+001435.92,144.03313,0.24331,16.47, 0.02,DA, 33778,   92, 8.354
SDSS J111637.17+001441.35,169.15488,0.24482,18.72, 0.02,DA, 17799,  167, 8.092
SDSS J152354.76+002331.02,230.97817,0.39195,18.83, 0.02,He-sdB, 38473, 1087, 5.120
SDSS J152607.88+001640.73,231.53283,0.27798,16.59, 0.01,sdO, 50000, 1000, 7.750
SDSS J211318.36+001738.29,318.3265,0.29397,16.11, 0.01,He-sdO, 48000,   47, 6.800
SDSS J095211.56+001840.03,148.04817,0.31112,17.29, 0.02,DA, 51408,  393, 8.107
SDSS J152905.62+002137.40,232.27342,0.36039,18.15, 0.01,He-sdB, 34592,  309, 5.610
SDSS J215538.05+002317.05,328.90854,0.38807,17.62, 0.02,DA, 18104,   68, 8.112
